section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491010538480,39.329269,-23.719513,-2.317073,0.153687,-0.864685,-0.294739,6.80793836847522,89.77309033991173
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491015478480,38.719513,-23.841463,-2.682927,0.155396,-0.862244,-0.296753,6.613848072084494,89.54346315668397
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491020418480,37.92683,-24.085367,-2.987805,0.151855,-0.864075,-0.285339,6.419992302699001,89.30970953453635
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491025358480,37.195122,-24.268293,-3.170732,0.149536,-0.864136,-0.286011,6.225939861690932,89.07226740659502
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491030298480,36.707317,-24.573172,-3.536585,0.148682,-0.86792,-0.286743,6.030693077450678,88.83242841355559
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491035238480,36.341465,-24.87805,-3.658537,0.149719,-0.874939,-0.2901,5.833637912315709,88.59089529729386
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491040178480,35.975609,-25.365854,-4.02439,0.145691,-0.878296,-0.293457,5.635884787286301,88.34734238744431
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491045118480,35.609756,-26.036587,-4.45122,0.148438,-0.885254,-0.291321,5.433715004322551,88.1022722186608
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491050058480,35.182926,-26.463415,-4.573171,0.152405,-0.880127,-0.292847,5.226827566652446,87.85563245476527
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491054998480,34.57317,-26.829269,-4.939024,0.153198,-0.879333,-0.291504,5.017311554860527,87.60624011752117
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491059938480,34.207317,-27.195122,-5.609756,0.152039,-0.882141,-0.28894,4.806308736937041,87.35514488037427
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491064878480,33.536587,-27.682928,-6.158537,0.151062,-0.878601,-0.281616,4.592694421966115,87.10093320602493
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491069818480,33.048782,-27.987806,-6.646342,0.155701,-0.8703,-0.277771,4.374364630796009,86.84507167118801
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491074758480,32.5,-28.231709,-7.134147,0.162292,-0.864502,-0.272583,4.150932419022979,86.58743263055874
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491079698480,32.07317,-28.353659,-6.95122,0.164185,-0.863525,-0.272644,3.9257008833543807,86.32798506373786
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491084638480,31.829269,-28.414635,-6.707317,0.163635,-0.859436,-0.271423,3.6998678945110157,86.06743389450037
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491089578480,31.768293,-28.414635,-6.585366,0.163818,-0.855042,-0.268127,3.473396179189166,85.80677064467068
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491094518480,31.890245,-28.109756,-6.341464,0.164185,-0.856934,-0.26416,3.2483863984488437,85.54674877292103
