gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
1.789445002,5,1,0.628464418,0.312081231,,,,,,,,,,,,,,,,
1.789497002,5,1,0.628385488,0.312020309,,,,,,,,,,,,,,,,
1.793397002,5,1,0.632296674,0.311988491,,,,,,,,,,,,,,,,
1.797374002,6,1,0.599522815,0.379860263,,,,,,,,,,,,,,,,
1.801326002,6,1,0.605804443,0.361828331,,,,,,,,,,,,,,,,
1.809362002,6,1,0.645967596,0.345006363,,,,,,,,,,,,,,,,
1.813403002,6,1,0.655913353,0.342762248,,,,,,,,,,,,,,,,
1.821414002,6,1,0.661341443,0.325016898,,,,,,,,,,,,,,,,
1.829383002,6,1,0.658554806,0.316200821,,,,,,,,,,,,,,,,
1.833372002,7,1,0.656559159,0.31486952,,,,,,,,,,,,,,,,
1.837373002,7,1,0.655900002,0.312319607,,,,,,,,,,,,,,,,
1.842825002,7,1,0.656112222,0.310473294,,,,,,,,,,,,,,,,
1.849403002,7,1,0.657177645,0.30764827,,,,,,,,,,,,,,,,
1.853392002,7,1,0.655450765,0.3071141,,,,,,,,,,,,,,,,
1.857377002,7,1,0.653944016,0.304145361,,,,,,,,,,,,,,,,
1.861397002,7,1,0.653071011,0.302258414,,,,,,,,,,,,,,,,
1.869406002,8,1,0.655755716,0.294025902,,,,,,,,,,,,,,,,
1.873730002,8,1,0.654638571,0.293037245,,,,,,,,,,,,,,,,
1.877673002,8,1,0.654451651,0.292551959,,,,,,,,,,,,,,,,
1.881560002,8,1,0.654868126,0.292609716,,,,,,,,,,,,,,,,
1.889198002,8,1,0.653399187,0.296488953,,,,,,,,,,,,,,,,
1.893351002,8,1,0.652593949,0.298926572,,,,,,,,,,,,,,,,
1.897371002,9,1,0.652066287,0.300074203,,,,,,,,,,,,,,,,
1.901402002,9,1,0.651380988,0.301444838,,,,,,,,,,,,,,,,
1.909217002,9,1,0.650546354,0.302075987,,,,,,,,,,,,,,,,
1.913410002,9,1,0.649387528,0.302619595,,,,,,,,,,,,,,,,
1.917359002,9,1,0.648877537,0.303321669,,,,,,,,,,,,,,,,
1.921439002,9,1,0.646774853,0.303474991,,,,,,,,,,,,,,,,
1.929260002,10,1,0.640290653,0.3047543,,,,,,,,,,,,,,,,
1.933401002,10,1,0.640272309,0.305726906,,,,,,,,,,,,,,,,
1.937418002,10,1,0.640239491,0.305921201,,,,,,,,,,,,,,,,
1.941351002,10,1,0.639410748,0.305992635,,,,,,,,,,,,,,,,
1.949266002,10,1,0.635675486,0.308120275,,,,,,,,,,,,,,,,
1.953399002,10,1,0.633723596,0.308599967,,,,,,,,,,,,,,,,
