section id,recording id,timestamp [ns],p1 x [px],p1 y [px],p2 x [px],p2 y [px],eye left x [px],eye left y [px],eye right x [px],eye right y [px],nose x [px],nose y [px],mouth left x [px],mouth left y [px],mouth right x [px],mouth right y [px]
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490822474480,656.0,77.0,760.0,195.0,693.803,121.4,737.021,136.642,708.853,157.811,681.986,164.654,713.287,176.723
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490822474480,166.0,0.0,281.0,135.0,223.146,54.782,268.502,56.47,255.159,85.825,216.401,101.997,252.857,104.638
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490849230035,662.0,94.0,765.0,214.0,699.076,137.437,741.097,153.945,712.778,173.703,686.569,180.214,718.588,193.52
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490849230035,179.0,7.0,292.0,154.0,234.479,72.455,276.996,74.2,265.045,103.825,228.218,119.75,262.547,122.227
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490894230035,667.0,114.0,772.0,234.0,704.963,156.649,749.869,171.567,721.708,191.624,694.048,200.571,728.429,212.648
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490894230035,189.0,34.0,301.0,177.0,243.762,95.323,288.113,99.905,274.437,125.693,237.019,141.523,275.164,146.017
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490920418924,677.0,135.0,780.0,254.0,714.861,178.315,757.172,193.949,729.578,213.583,703.547,221.865,734.03,234.198
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490920418924,201.0,50.0,311.0,197.0,255.821,115.438,297.173,117.848,285.697,146.677,248.4,161.85,281.97,164.864
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490952585591,685.0,151.0,788.0,270.0,721.98,196.166,765.437,210.33,738.185,231.325,711.685,239.472,744.014,250.816
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490952585591,213.0,73.0,323.0,215.0,269.616,133.811,310.864,138.579,299.1,163.421,262.109,178.445,298.375,183.269
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490983641146,694.0,170.0,798.0,286.0,734.918,213.48,777.545,229.062,750.627,247.432,721.845,253.865,754.752,266.38
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295490983641146,226.0,87.0,336.0,231.0,280.129,151.308,321.739,153.53,309.9,181.766,274.905,197.754,308.574,200.246
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491013030035,704.0,184.0,805.0,300.0,741.144,227.338,784.299,241.358,757.836,262.547,730.3,268.594,763.735,279.94
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491013030035,237.0,107.0,349.0,249.0,293.968,167.739,335.697,172.593,322.626,199.072,285.842,213.858,321.598,218.645
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491046496702,711.0,198.0,813.0,313.0,751.37,243.855,792.512,257.044,767.469,278.421,739.428,283.773,770.339,294.417
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491046496702,246.0,120.0,357.0,264.0,302.058,184.067,342.796,186.73,331.121,214.012,293.303,229.111,326.285,232.437
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491083163368,716.0,209.0,818.0,322.0,756.031,252.754,798.614,266.739,773.036,286.039,744.847,292.562,776.885,303.834
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491083163368,256.0,135.0,365.0,277.0,311.275,195.871,352.592,198.978,340.053,225.816,304.953,241.719,340.656,245.085
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491114718924,721.0,214.0,823.0,329.0,761.328,261.751,803.057,275.94,777.771,296.517,749.294,301.19,779.529,312.665
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491114718924,261.0,145.0,371.0,289.0,315.822,207.553,358.126,209.943,344.953,238.69,309.426,254.62,345.915,257.486
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491145518924,724.0,222.0,824.0,337.0,764.084,267.04,803.819,282.774,778.57,301.757,750.045,305.629,779.921,318.436
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491145518924,272.0,161.0,372.0,290.0,318.438,216.446,359.958,217.292,348.121,245.551,315.343,260.642,348.972,262.185
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491193318924,718.0,230.0,824.0,342.0,762.47,269.964,803.711,285.42,778.144,304.317,747.278,310.057,778.723,322.619
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491193318924,273.0,169.0,372.0,299.0,318.287,224.112,359.638,224.605,347.697,253.749,314.649,269.522,347.549,270.915
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491223463368,715.0,233.0,818.0,345.0,757.259,277.095,797.848,292.599,772.413,310.838,743.569,315.4,773.567,327.876
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491223463368,270.0,179.0,370.0,306.0,316.448,232.134,357.584,233.191,345.553,262.405,311.711,276.842,344.696,278.71
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491254207813,709.0,236.0,812.0,348.0,753.544,281.278,792.34,295.693,768.362,316.376,738.439,319.824,765.814,331.637
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491254207813,262.0,187.0,360.0,317.0,307.88,242.449,349.235,242.031,338.418,269.142,306.898,285.914,341.202,286.377
